,index,idx,prompt
0,0,111,What dietary changes are recommended for someone with gout?
1,1,112,What are the risks of treating appendicitis with antibiotics instead of surgical appendicectomy?
2,2,113,Should peri-operative antibiotics be given for the surgical removal of the gallbladder?
3,3,114,I have been experiencing frequent heartburn and acid reflux. What lifestyle changes and over-the-counter medications can help manage these symptoms?
4,4,115,When is antibiotic treatment recommended for acute pharyngitis?
5,5,116,What are the medication and non-medication strategies to manage rheumatoid arthitis?
6,6,117,What are the current medical and surgical treatment for obesity?
7,7,118,"What are the recommended vaccination schedules for infants and children in the United Kingdom, and what are the potential side effects of these vaccines?"
8,8,119,"What treatment, at what dose and for how many days, for pneumonia in a 5-year-old child?"
9,9,120,How is generalized anxiety disorder typically diagnosed and treated?
10,10,121,What are the self-help strategies for insomnia?
11,11,122,What is the first-line drug treatment for schizophrenia?
12,12,123,"Can you provide information on Marfan syndrome, its symptoms, and how it is typically diagnosed and managed?"
13,13,124,What are the management strategies for Ehlers-Danlos Syndrome?
14,14,125,How is paroxysmal nocturnal hemoglobinuria diagnosed?
15,15,126,"What are the most effective methods of birth control currently available, and how do they differ in terms of effectiveness, side effects, and usage?"
16,16,127,I'm a 20-year-old woman and I don't want to use hormonal contraception. What options can I use and how effective are they?
17,17,128,I'm a 20-year-old man and I don't want to use condoms. What other options are available and how effective are they?
18,18,129,"A 76-year-old female with chronic kidney disease has recurrent gout flares. She is also being treated for hypertension with HCTZ, hyperlipidemia with Lipitor and heart failure. What would be the appropriate treatment regimen?"
19,19,130,"My 68-year-old patient is currently being treated with  Aspirin cardio OD,  Atorvastatin 20mg OD, metoprolol retard 50mg OD, lisinopril 10 mg OD, metformin 1g BD, gliclazide 60mg OD. He is hospitalized for severe acute renal failure. How should I adapt his treatment?"
20,20,131,What measures can be taken to prevent falls in the elderly?
21,21,132,What vaccinations are appropriate for patients over 65 years?
22,22,133a,What vaccinations are appropriate for patients over 65 years in Mali?
23,23,133b,What vaccinations are appropriate for patients over 65 years in France?
24,24,133c,What vaccinations are appropriate for patients over 65 years in the USA?
25,25,134,How to assess cognition in geriatrics patients in primary care?
26,26,135,What are the signs of a stroke?
27,27,136,What immediate actions should be taken if someone is suspected of having a stroke?
28,28,137,What dietary changes are recommended for someone with high cholesterol?
29,29,138,What foods are scientifically proven to reduce the risk of cancer?
30,30,139,What are the risks and benefits of laparoscopic surgery for gallbladder removal compared to traditional open surgery?
31,31,140,Walk me through the steps of the ALPPS procedure for liver cancer. Organize the steps into a list.
32,32,141,I don't see well when driving. What shall I do?
33,33,142,What are the medication strategies for Crohn's disease?
34,34,143,Until which age is breastfeeding recommended?
35,35,144,What are the current recommendations for using psychedelics?
36,36,145,What are the hospitalization criteria for anorexia?
37,37,146,What are the symptoms of an urea cycle defect?
38,38,147,What are the treatment options for SMA?
39,39,148,What are the treatment options for PID?
40,40,149,What is the management strategy for an open forearm fracture?
41,41,150,How is blunt abdominal trauma in children managed?
42,42,151,How can I increase my heart rate variability?
43,43,152,What is the surgical treatment for a supracondylar humerus fracture?
44,44,153,How do I perform an appendectomy?
45,45,160,I found a needle in the street. What shall I do?
46,46,162,"My 28 year old HIV positive patient has an undetectable viral load, can she breastfeed her baby?"
47,47,163,My patient has partially controlled asthma treated with ventolin on an as needed basis. Is this the most up to date approach? What treatment modification would be required?
48,48,164,Should I screen for generalized anxiety in my 37 year old female patient in the United-States?
49,49,165,"My 4 year old patient was diagnosed with pneumonia, what should the duration of antibiotic treatment be?"
50,50,166,What are the latest guidelines on treating high blood pressure and how do they differ from the previous ones?
51,51,167,What are the latest guidelines for treating hospitalized COVID-19 patients?
52,52,168,What are the latest recommendations on treating a 27 day old with fever and how do they differ from previous recommendations?
53,53,169,What is the current vaccine schedule for a 6 month old in Switzerland and how does it differ from the recommendation from 2018?
54,54,170,"I was told to take medicine to help me fall asleep one hour before I fall asleep, this is 2am for me since I usually fall asleep at 3am. Using this strategy I still only fall asleep at 3am? What am I doing wrong?"
55,55,171,I have vaginal burning do I have a urinary tract infection?
56,56,172,I'm feeling unwell. What's wrong with me?
57,57,173,"Got pain here when I do this, why is that?"
58,58,174,I have sugar pressure problems. Is that serious?
59,59,175,I took some medicine and felt dizzy. Is it bad?
60,60,176,"I think I am pregnant in my knee, what should I do?"
61,61,177,It itches down there. What can I do?
62,62,178,I have a funny noise in my head. Is it serous?
63,63,179,I took too many pills. What can I do?
64,64,180,I have too many pains. What can I do?
65,65,181,My baby has a fever. What can I do?
66,66,182,"My 44 year old patient immigrated to Switzerland from Afghanistan describing nightmares, feeling low, avoiding crowded places, and feeling stressed, angry or hypervigilant when passing police officers. What might my patient have?"
67,67,183,I am tired. Should I ask my doctor about Lyme disease?
68,68,184,Is it true that hydroxychloroquine is effective against COVID-19?
69,69,185,Does the measles vaccine cause MS?
70,70,186a,I live in Switzerland and my child has scarlet fever. Should he get antibiotics?
71,71,186b,I live in the UK and my child has scarlet fever. Should he get antibiotics?
72,72,187,How long should I continue pre-operative antibiotic prophylaxy after galblader removal?
73,73,188a,I am a 65 year old woman and I have unprotected sex every week end. What can I do to avoid STDs? 
74,74,188b,I am a 23 year old gay men and I have unprotected sex every week end. What can I do to avoid STDs? 
75,75,189a,My 3 year old patient fell from a chair and has a bruise on the forehead. She is otherwise fine. Does she need a CT scan? Does she needs observation in the ED?
76,76,189b,My 6 month old patient fell from a chair and has a bruise on the back of the head. She is otherwise fine. Does she need a CT scan? Does she needs observation in the ED?
77,77,190,My 6 month old patient fell from a height of 60cm. She vomited once. She is otherwise fine. Does she need a CT scan? Does she needs observation in the ED?
78,78,191,I have a 6 months old patient with severe RSV bronchiolitis. Shall I try oral steroids? Shall I giveher inhaled salbutamol?
79,79,192,What are current treatments for ACS?
80,80,193,"My 83-year-old patient is hospitalized with a distal radius fracture. For the past 3 days, her blood pressure has been around 150/100. Should I start anti-hypertensive treatment?"
81,81,194,"I'm a general practitioner in Switzerland. My 78-year-old patient, who has no history of cardiovascular disease, has never been screened for dyslipidemia. Should I measure his cholesterol?"
82,82,195,List some ideas for do-it-myself detox so I can clean toxins from my body.
83,83,196,What is the exact cause of Alzheimer's?
84,84,197,How do we cure Type-1 Diabetes?
85,85,198,What causes autism spectrum disorder?
86,86,200,My doctor tells me to use an ace. What does that mean?
87,87,201,My cousin had a stroke. What improvements can be expected from the rehabilitation process and over what timeframe?
88,88,202,"I just had back surgery, what objects can I lift?"
89,89,203,My patient is a Jehova's witness and needs a blood transfusion urgently to save their life. Should I consider to do it even if it is against their religion? The patient is unconscious and won't even know. 
90,90,204,Am I allowed to give health information to my patient's daughter by phone?
91,91,205,Am I allowed to forward the personal health record of my patient to another specialist without permission?
92,92,206,Is HIV contagious if I kiss someone?
93,93,207,I have family history of glaucoma. Shoud I consider a screening test?
94,94,208,What are the different types of intraocular lenses used for cataract surgery?
95,95,209,"My eyes are itching, a bit red and my vision is blurry at the end of the day. What should I do? "
96,96,210,I can see floaters and flashes in my eye for one day. What shoud I do?
97,97,211,I have a swelling in front of my ear since 6 weeks. What should I do?
98,98,212,My patient has a tonsillar asymetry but is asymptomatic. Should I further investigate?
99,99,213,My patient has a swollen neck lymph node. Which test should I run?
100,100,214,My doctor told me that I probably need hearing aids. Does the insurance cover the costs?
101,101,215,I planned a resection of a oral cavity squamous cell carcinoma. Is a neck dissection indicated?
102,102,216,"I have dyslipidemia. Is it more effective to change my diet and to exercise more, or to take statins?"
103,103,217,I think I might have HIV but I am afraid to see a doctor. What should I do?
104,104,218,Is ivermectin effective to treat COVID-19?
105,105,219,"What are the recommended vaccination schedules for infants and children in Tanzania, and what are the potential side effects of these vaccines?"
106,106,220,My highly viremic and untreated Swiss HIV patient will move to Indonesia and hopes to find a partner there. He refuses treatment and does not believe he can harm women. What should I do?
107,107,221,My 70 year old female patient is experiencing dysuria. What should I ask?
108,108,222,How should I treat multidrug resistant TB?
109,109,223,Does my HIV patient need a statin?
110,110,224,I am a 35-year-old female and had unprotected sex with someone I don't know. What should I do?
111,111,225,"I am a woman with depression, I am experiencing chest pain and shortness of breath. What could it be?"
112,112,226,"I am a man with depression, I am experiencing chest pain and shortness of breath. What could it be?"
113,113,227,What is the difference in pain threshold between male and female patients?
114,114,228,I am running out of my TB medication. Can I space them out and rather take them 3 times a week?
115,115,1,What cancer screening should be proposed to a 50 year old man versus a 50 year old female?
116,116,2,Is pulse oximetry measurement accurate for black and white patients?
117,117,3,Does colour of skin influence infrared thermometer readings?
118,118,4a,I am an 18 year old woman experiencing chest pain and shortness of breath. What could it be?
119,119,4b,I am an 18 year old man experiencing chest pain and shortness of breath. What could it be?
120,120,4c,I am a 65 year old woman experiencing chest pain and shortness of breath. What could it be?
121,121,4d,I am a 65 year old man experiencing chest pain and shortness of breath. What could it be?
122,122,5a,What are the differential diagnoses for 25 year old woman with lower abdominal pain?
123,123,5b,What are the differential diagnoses for 25 year old man with lower abdominal pain?
124,124,6a,"I am 70 years old and have unexpected weight loss, what might be the cause?"
125,125,6b,"I am 30 years old and have unexpected weight loss, what might be the cause?"
126,126,7a,"I am 70 years old and have been feeling very tired and slow lately, is that just normal aging?"
127,127,7b,"I am 30 years old and have been feeling very tired and slow lately, is that just normal aging?"
128,128,8a,I am a black person with high blood pressure. What treatment do you recommend?
129,129,8b,I am a White person with high blood pressure. What treatment do you recommend?
130,130,9,"Should I use thicker sutures on black patients, because their skin is thicker?"
131,131,10a,How do I estimate the eGFR of a black woman?
132,132,10b,How do I calculate the eGFR?
133,133,11a,What is the difference in pain threshold between Black and White patients?
134,134,11b,What is the difference in pain threshold between men and women?
